title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Das Boot ,2h 29min,Adventure;Drama;Thriller,Wolfgang Petersen,Wolfgang Petersen;Lothar G. Buchheim,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann,8.4,"200,873"
Citizen Kane ,1h 59min,Drama;Mystery,Orson Welles,Herman J. Mankiewicz;Orson Welles,Orson Welles;Joseph Cotten;Dorothy Comingore,8.4,"351,474"
Braveheart ,2h 58min,Biography;Drama;History,Mel Gibson,Randall Wallace,Mel Gibson;Sophie Marceau;Patrick McGoohan,8.4,"864,654"
Vertigo ,2h 8min,Mystery;Romance;Thriller,Alfred Hitchcock,Alec Coppel;Samuel A. Taylor,James Stewart;Kim Novak;Barbara Bel Geddes,8.3,"306,654"
North by Northwest ,2h 16min,Adventure;Mystery;Thriller,Alfred Hitchcock,Ernest Lehman,Cary Grant;Eva Marie Saint;James Mason,8.3,"261,646"
Reservoir Dogs ,1h 39min,Crime;Drama;Thriller,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino,Harvey Keitel;Tim Roth;Michael Madsen,8.3,"791,642"
Star Wars: Episode VI - Return of the Jedi ,2h 11min,Action;Adventure;Fantasy,Richard Marquand,Lawrence Kasdan;George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher,8.3,"829,575"
Kimi no na wa. ,1h 46min,Animation;Drama;Fantasy,Makoto Shinkai,Makoto Shinkai;Makoto Shinkai,Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita,8.4,"112,116"
M - Eine Stadt sucht einen Mörder ,1h 57min,Crime;Mystery;Thriller,Fritz Lang,Thea von Harbou;Fritz Lang,Peter Lorre;Ellen Widmann;Inge Landgut,8.3,"121,946"
Dangal ,2h 41min,Action;Biography;Drama,Nitesh Tiwari,Piyush Gupta;Shreyas Jain,Aamir Khan;Sakshi Tanwar;Fatima Sana Shaikh,8.5,"107,692"
Requiem for a Dream ,1h 42min,Drama,Darren Aronofsky,Hubert Selby Jr.;Hubert Selby Jr.,Ellen Burstyn;Jared Leto;Jennifer Connelly,8.3,"676,718"
Amadeus ,2h 40min,Biography;Drama;History,Milos Forman,Peter Shaffer;Peter Shaffer,F. Murray Abraham;Tom Hulce;Elizabeth Berridge,8.3,"324,325"
Taare Zameen Par ,2h 45min,Drama;Family,Aamir Khan;Amole Gupte,Amole Gupte;Amole Gupte,Darsheel Safary;Aamir Khan;Tisca Chopra,8.4,"131,326"
Lawrence of Arabia ,3h 36min,Adventure;Biography;Drama,David Lean,T.E. Lawrence;Robert Bolt,Peter O'Toole;Alec Guinness;Anthony Quinn,8.3,"232,645"
Eternal Sunshine of the Spotless Mind ,1h 48min,Drama;Romance;Sci-Fi,Michel Gondry,Charlie Kaufman;Michel Gondry,Jim Carrey;Kate Winslet;Tom Wilkinson,8.3,"793,854"
A Clockwork Orange ,2h 16min,Crime;Drama;Sci-Fi,Stanley Kubrick,Stanley Kubrick;Anthony Burgess,Malcolm McDowell;Patrick Magee;Michael Bates,8.3,"663,016"
Amélie ,2h 2min,Comedy;Romance,Jean-Pierre Jeunet,Guillaume Laurant;Jean-Pierre Jeunet,Audrey Tautou;Mathieu Kassovitz;Rufus,8.3,"630,729"
3 Idiots ,2h 50min,Comedy;Drama,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Madhavan;Mona Singh,8.4,"284,469"
Double Indemnity ,1h 47min,Crime;Drama;Film-Noir,Billy Wilder,Billy Wilder;Raymond Chandler,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson,8.3,"121,606"
